policy,seed,type,instance,nnodes,nlps,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime
internal:relpscost,4,big,data/instances/ilbb/test_instances/nu25-pr12.mps.gz,1,34,2.13,0.0,infeasible,0,0,2.3159931674599648,2.3172904009988997
gcnn:baseline,0,big,data/instances/ilbb/test_instances/nu25-pr12.mps.gz,10222,7310,100.58,0.0,infeasible,0,0,106.30533783324063,107.27759106300073
gcnn:baseline,1,big,data/instances/ilbb/test_instances/nu25-pr12.mps.gz,621781,320403,3600.0,0.0006814732166809869,timelimit,0,0,3917.357445580885,3969.815120228006
gcnn:baseline,2,big,data/instances/ilbb/test_instances/nu25-pr12.mps.gz,486304,241638,3600.0,0.0020069305909350453,timelimit,0,0,3866.099672984332,3901.8105680709996
gcnn:baseline,3,big,data/instances/ilbb/test_instances/nu25-pr12.mps.gz,658896,403163,3600.0,0.0002880478100167589,timelimit,0,0,3953.3417012710124,3999.246789589997
gcnn:baseline,4,big,data/instances/ilbb/test_instances/nu25-pr12.mps.gz,1,98,3.53,0.0,infeasible,0,0,3.8463060799986124,3.849305526993703
internal:relpscost,0,big,data/instances/ilbb/test_instances/rail507.mps.gz,471,557,138.24,0.0,infeasible,33,0,140.64998492226005,140.6555565219969
internal:relpscost,1,big,data/instances/ilbb/test_instances/rail507.mps.gz,579,675,162.73,0.0,infeasible,33,0,165.21226185560226,165.27093162600067
internal:relpscost,2,big,data/instances/ilbb/test_instances/rail507.mps.gz,595,670,173.48,0.0,infeasible,29,0,176.14313868246973,176.03945759499766
internal:relpscost,3,big,data/instances/ilbb/test_instances/rail507.mps.gz,561,643,165.23,0.0,infeasible,33,0,167.7851420789957,167.7841955400072
internal:relpscost,4,big,data/instances/ilbb/test_instances/rail507.mps.gz,519,636,173.42,0.0,infeasible,44,0,176.0132389701903,176.01393506101158
gcnn:baseline,0,big,data/instances/ilbb/test_instances/rail507.mps.gz,82200,49441,3600.01,0.008927949726950355,timelimit,0,0,3761.5085901357234,3752.5548983680055
gcnn:baseline,1,big,data/instances/ilbb/test_instances/rail507.mps.gz,64969,42118,3600.01,0.009818279227331606,timelimit,0,0,3749.254914075136,3739.468535729
gcnn:baseline,2,big,data/instances/ilbb/test_instances/rail507.mps.gz,71559,37205,3600.01,0.010150503603810035,timelimit,0,0,3764.1079667024314,3752.393205497996
gcnn:baseline,3,big,data/instances/ilbb/test_instances/rail507.mps.gz,90873,45925,3600.01,0.0100976976785241,timelimit,0,0,3774.8614564668387,3763.8450244429987
gcnn:baseline,4,big,data/instances/ilbb/test_instances/rail507.mps.gz,71406,45297,3600.0,0.00935069778947764,timelimit,0,0,3765.0695672053844,3756.1066225230024
